Author,Year,Publication,Format,Chemistry,Electrolyte,SOC,Failure,GasVol,Voltage,A-hr,W-hr,Mass,L/Wh,Pmax,Notes,CO2,CO,H2,CH4,C2H4,C2H6,C3H8,N2,O2,CH3OH,THC,Other,C2H2,C3H6,C4H10,C4H102,C4H8,C5H12,C5H123,C6H6,C7H8,C8H10,(CH3)2C6H4,C2H5F,CH3OCH3,CH3OCHO,C2H5OH,CH3F,PF3
Larsson,2017,,Cylindrical,Laptop Battery,,100,Thermal Abuse (Fire Test Chamber),,11.1,5.6,62.16,,,,"Each laptop battery pack has 6 cells of type 18650; arranged 2
in parallel and 3 in series. 2 batteries per test",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kumia,1999,,18650,LCO,PC:EMC:DEC:DMC ,Varied,Cycled/Overcharged/Overdischarged at 25 C,0.04,4.2,1,4.2,,0.01,,"Varying Tests with different volumes of gases detected, the largest volume recorded",71.2,0.6,,21,,3.2,0.8,,,,,,,1,,,,,,,,,,,,,,,
Ohsaki,2005,,Prismatic 633048,LCO,EC:EMC,OCH,Overcharged at 1 C Rate  ,0.02,3.7,0.65,2.41,25.5,0.01,,"Unsure of battery voltage, looked up model number",49.11,5.22,12.04,14.78,4.09,14.78,,,,,,,,,,,,,,,,,,,,,,,
Kong,2005,,18650,LCO,EC:DEC ,OCH,Overcharged ,,4.2,1.1,4.62,,,,No off-gas compositions ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun,2016,,18650,LCO,,OCH,Thermal Abuse on Overcharged Cells (Combustion Chamber),,,,,,,,Gives some concentrations in ppm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Somandepalli,2014,,Pouch Cells,LCO,ED:DEC,150,Thermal Abuse (Combustion chamber),6,3.7,2.1,7.7,,0.77,7.7,,20.9,24.5,29.7,8.21,10.77,1.32,2.54,,,,,,,0.01,0.133,0.39,0.6,0.04,0.3,0.33,0.05,0,0,,,,,,
Somandepalli,2014,,Pouch Cells,LCO,ED:DEC,100,Thermal Abuse (Combustion chamber),2.5,,,,,0.32,7.1,,30,22.9,27.7,6.39,2.19,1.16,0.26,,,,,,,4.52,0.2,0.56,1.58,0.07,0.73,0.11,0.02,0,0,,,,,,
Fu,2015,,18650,LCO,,100,Thermal-Abuse (Cone-calorimeter),,,2.6,,,,,Goes into detail about time to ignition for different SOC/Heat Flux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAA Study,2016,,18650,LCO,,100,Thermal-Abuse (Cone-calorimeter),7.85,,,,,,72.3,"Tests conducted at cabin pressure at altitude (10psia), compositions are from powerpoint presentation, assuming that the remaining gas is CO2 since only the volumes for hydrogen, CO and THC were given along with the total volumes",44.46,27.13,19.49,,,,,,,,8.92,,,,,,,,,,,,,,,,,,
Larsson,2017,,"Prismatic hard
Al-can",LCO,,100,Thermal Abuse (Fire Test Chamber),,3.75,6.8,25.5,,,,"5-10 batteries per test, goes over HF Release",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAA Study,2016,,18650,LCO,,90,Thermal-Abuse (Cone-calorimeter),5.23,,,,,,,"Tests conducted at cabin pressure at altitude (10psia), compositions are from powerpoint presentation, assuming that the remaining gas is CO2 since only the volumes for hydrogen, CO and THC were given along with the total volumes",37.86,32.12,19.31,,,,,,,,10.71,,,,,,,,,,,,,,,,,,
FAA Study,2016,,18650,LCO,,80,Thermal-Abuse (Cone-calorimeter),5.05,,,,,,,"Tests conducted at cabin pressure at altitude (10psia), compositions are from powerpoint presentation, assuming that the remaining gas is CO2 since only the volumes for hydrogen, CO and THC were given along with the total volumes",41.58,29.9,18.42,,,,,,,,10.1,,,,,,,,,,,,,,,,,,
Fu,2015,,18650,LCO,,70,Thermal-Abuse (Cone-calorimeter),,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAA Study,2016,,18650,LCO,,70,Thermal-Abuse (Cone-calorimeter),4.24,,,,,,,"Tests conducted at cabin pressure at altitude (10psia), compositions are from powerpoint presentation, assuming that the remaining gas is CO2 since only the volumes for hydrogen, CO and THC were given along with the total volumes",40.8,28.3,20.05,,,,,,,,10.85,,,,,,,,,,,,,,,,,,
Fu,2015,,18650,LCO,,65,Thermal-Abuse (Cone-calorimeter),,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAA Study,2016,,18650,LCO,,60,Thermal-Abuse (Cone-calorimeter),2.81,,,,,,,"Tests conducted at cabin pressure at altitude (10psia), compositions are from powerpoint presentation, assuming that the remaining gas is CO2 since only the volumes for hydrogen, CO and THC were given along with the total volumes",55.16,8.54,23.49,,,,,,,,12.81,,,,,,,,,,,,,,,,,,
Somandepalli,2014,,Pouch Cells,LCO,ED:DEC,50,Thermal Abuse (Combustion chamber),0.8,,,,,0.1,,,32,3.61,30,5.78,5.57,2.75,0.68,,,,,,,8.16,0.41,0.67,2.55,0.45,1.94,0.14,0.06,0.01,0.01,,,,,,
Fu,2015,,18650,LCO,,50,Thermal-Abuse (Cone-calorimeter),,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FAA Study,2016,,18650,LCO,,50,Thermal-Abuse (Cone-calorimeter),2.25,,,,,,70.1,"Tests conducted at cabin pressure at altitude (10psia), compositions are from powerpoint presentation, assuming that the remaining gas is CO2 since only the volumes for hydrogen, CO and THC were given along with the total volumes",57.78,5.33,19.11,,,,,,,,17.78,,,,,,,,,,,,,,,,,,
FAA Study,2016,,18650,LCO,,40,Thermal-Abuse (Cone-calorimeter),2.09,,,,,,,"Tests conducted at cabin pressure at altitude (10psia), compositions are from powerpoint presentation, assuming that the remaining gas is CO2 since only the volumes for hydrogen, CO and THC were given along with the total volumes",57.89,4.78,21.05,,,,,,,,16.27,,,,,,,,,,,,,,,,,,
FAA Study,2016,,18650,LCO,,30,Thermal-Abuse (Cone-calorimeter),1.5,,,,,,,"Tests conducted at cabin pressure at altitude (10psia), compositions are from powerpoint presentation, assuming that the remaining gas is CO2 since only the volumes for hydrogen, CO and THC were given along with the total volumes",75.67,2.33,6.67,,,,,,,,15.33,,,,,,,,,,,,,,,,,,
FAA Study,2016,,18650,LCO,,20,Thermal-Abuse (Cone-calorimeter),1.32,,,,,,,"Tests conducted at cabin pressure at altitude (10psia), compositions are from powerpoint presentation, assuming that the remaining gas is CO2 since only the volumes for hydrogen, CO and THC were given along with the total volumes",79.55,2.27,4.55,,,,,,,,13.64,,,,,,,,,,,,,,,,,,
FAA Study,2016,,18650,LCO,,10,Thermal-Abuse (Cone-calorimeter),1.04,,,,,,,"Tests conducted at cabin pressure at altitude (10psia), compositions are from powerpoint presentation, assuming that the remaining gas is CO2 since only the volumes for hydrogen, CO and THC were given along with the total volumes",82.69,1.92,3.85,,,,,,,,11.54,,,,,,,,,,,,,,,,,,
Fu,2015,,18650,LCO,,0,Thermal-Abuse (Cone-calorimeter),,,2.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spinner,2015,,18650,LCO,DMC:EC:PC,,Thermal Abuse on Overcharged Cells(Fire Test Chamber),,,,,,,,"Single and Hexagonal cell configuration, hot glued and hose-claps, gives ranges for CO2, CO, SO2, O2 and CH4 released in ppm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Golubkov,2014,,18650,LCO/NMC,DMC:EMC:EC,100,Thermal Abuse (Reactor Chamber),,3.8,2.6,9.88,44.3,,,"* Not sure if charging regimen, leaves them at exactly 100%",24.9,27.6,30,8.6,7.7,1.2,,,,,,,,,,,,,,,,,,,,,,,
Kong,2005,,18650,LFP,,OCH,Overcharged ,,3.65,1,9.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun,2016,,18650,LFP,,OCH,Thermal Abuse on Overcharged Cells (Combustion Chamber),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuan,2015,,Prismatic,LFP,EC:DEC:EM,190,Overcharged,,5.1,32,163.2,,,,,58.4,31.7,,0.53,3.97,0.81,,,,,,4.59,,,,,,,,,,,,,,,,,
Fernandes,2018,,Cylindrical 26650,LFP,DMC:EMC:EC:PC,190,Overcharged (Explosion Proof Room),,,2.5,,75.41,,,"190% SOC before rupturing, 300 mL sample tested, average used",46.77,4.91,23.7,1.51,10.04,0.63,,,,0.28,,0.31,,0.31,,,,,,,,,,4.56,3.09,1.94,1.06,0.9,0.42
Yuan,2015,,Prismatic,LFP,EC:DEC:EM,180,Overcharged,,5.1,32,163.2,,,,,39.9,43.3,,0.4,7.9,0.8,,,,,,7.8,,,,,,,,,,,,,,,,,
Yuan,2015,,Prismatic,LFP,EC:DEC:EM,170,Overcharged,,5.1,32,163.2,,,,,32.2,45.1,,0.53,4.2,0.51,,,,,,17.99,,,,,,,,,,,,,,,,,
Golubkov,2015,,18650,LFP,DMC:EMC:EC:PC:MPC,130,Thermal Abuse,,,,,,,,,55.8,7.7,30.1,6.4,,,,,,,,,,,,,,,,,,,,,,,,,
Golubkov,2015,,18650,LFP,DMC:EMC:EC:PC:MPC,115,Thermal Abuse,,,,,,,,,52.2,6.4,34,2.6,4.7,0.1,,,,,,,,,,,,,,,,,,,,,,,
Golubkov,2014,,18650,LFP,DMC:EC:PC,100,Thermal Abuse (Reactor Chamber),,3.3,1.1,3.63,38.8,,,"* Not sure if charging regimen, leaves them at exactly 100%",53,4.8,30.9,4.1,6.8,0.3,,,,,,,,,,,,,,,,,,,,,,,
Larsson,2014,,5x EiG ePLB-F007A,LFP,,100,Thermal Abuse (Fire Test Chamber),,,35,,1227.9,,,"Measured HF and POF3 off-gas, goes over HF release",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Larsson,2014,,5x EiG ePLB-F007A,LFP,,100,Thermal Abuse (Fire Test Chamber),,,35,,1229.7,,,Measured HF and POF3 off-gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Larsson,2014,,5x EiG ePLB-F007A,LFP,,100,Thermal Abuse (Fire Test Chamber),,,35,,1229.3,,,"Measured HF and POF3 off-gas, included water mist",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Larsson,2014,,9x K2 LFP26650EV,LFP,,100,Thermal Abuse (Fire Test Chamber),,,28.8,,734.8,,,Measured HF and POF3 off-gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Golubkov,2015,,18650,LFP,DMC:EMC:EC:PC:MPC,100,Thermal Abuse,,,,,,,,,48.3,9.1,29.4,5.4,7.2,0.5,,,,,,,,,,,,,,,,,,,,,,,
Larsson,2017,,Pouch,LFP,,100,Thermal Abuse (Fire Test Chamber),,3.2,20,64,,,,2 batteries per test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Larsson,2017,,Pouch,LFP,,100,Thermal Abuse (Fire Test Chamber),,3.2,7,22.4,,,,5 batteries per test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Larsson,2017,,Cylindrical,LFP,,100,Thermal Abuse (Fire Test Chamber),,3.2,3.2,10.24,,,,9 batteries per test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Larsson,2017,,Cylindrical,LFP,,100,Thermal Abuse (Fire Test Chamber),,3.3,8,26.4,,,,5 batteries per test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Golubkov,2015,,18650,LFP,DMC:EMC:EC:PC:MPC,75,Thermal Abuse,,,,,,,,,62.6,6.4,21.8,1.9,6.3,1,,,,,,,,,,,,,,,,,,,,,,,
Larsson,2014,,5x EiG ePLB-F007A,LFP,,50,Thermal Abuse (Fire Test Chamber),,,35,,1227.6,,,Measured HF and POF3 off-gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Golubkov,2015,,18650,LFP,DMC:EMC:EC:PC:MPC,50,Thermal Abuse,,,,,,,,,66.2,4.8,20.8,1.6,6.6,,,,,,,,,,,,,,,,,,,,,,,,
Golubkov,2015,,18650,LFP,DMC:EMC:EC:PC:MPC,25,Thermal Abuse,,,,,,,,,85.3,3.1,7.1,1.2,3.1,0.2,,,,,,,,,,,,,,,,,,,,,,,
Larsson,2014,,5x EiG ePLB-F007A,LFP,,0,Thermal Abuse (Fire Test Chamber),,,35,,1228.6,,,Measured HF and POF3 off-gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Golubkov,2015,,18650,LFP,DMC:EMC:EC:PC:MPC,0,Thermal Abuse,,3.5,1.1,3.85,,,,,93.5,1.8,2.7,0.7,0.7,0.7,,,,,,,,,,,,,,,,,,,,,,,
Zheng,2016,,Pouch,LFP,EC:DMC:EMC,0,Overdischarged (Glove Box),,,,,,,,Gas species based on over-discharged battery (0.0 V),,,35.68,53.06,0.29,6.12,0.69,2.75,0.77,,,,0.18,,,,,,,,,,,,,,,,
Kong,2005,,18650,LMO,,OCH,Overcharged ,,4.3,0.7,3.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun,2016,,18650,LMO,,OCH,Thermal Abuse on Overcharged Cells (Combustion Chamber),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun,2016,,Pouch,LMO,,OCH,Thermal Abuse on Overcharged Cells (Combustion Chamber),,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ribiere,2011,,Pouch Cells,LMO,EC:DEC:DMC,"100, 50, 0",Thermal-Abuse (Tewarson calorimeter),,3.8,2.9,11,,,,"Gives the mass of CO2, CO and the THC in ppm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Golubkov,2015,,18650,NCA,DMC:EMC:EC:PC:MPC,143,Thermal Abuse,,,,,,,,,22,43.4,26.2,6.9,1.5,,,,,,,,,,,,,,,,,,,,,,,,
Golubkov,2015,,18650,NCA,DMC:EMC:EC:PC:MPC,132,Thermal Abuse,,,,,,,,,18.9,49.2,25.8,4.7,1.4,,,,,,,,,,,,,,,,,,,,,,,,
Golubkov,2015,,18650,NCA,DMC:EMC:EC:PC:MPC,127,Thermal Abuse,,,,,,,,,16.2,46.6,28.8,6.4,1.3,0.3,,,,,,,,,,,,,,,,,,,,,,,
Golubkov,2015,,18650,NCA,DMC:EMC:EC:PC:MPC,120,Thermal Abuse,,,,,,,,,20.8,48.7,23.5,5.4,1.6,,,,,,,,,,,,,,,,,,,,,,,,
Golubkov,2015,,18650,NCA,DMC:EMC:EC:PC:MPC,112,Thermal Abuse,,,,,,,,,18.8,48.1,25.1,5.9,2.1,,,,,,,,,,,,,,,,,,,,,,,,
Doughty,2005,,18650,NCA,EC:EMC,100,Thermal-Abuse (ARC),,4.1,,,,,,18650 Baseline Test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doughty,2005,,18650,NCA,EC:EMC,100,Thermal-Abuse (ARC),,4.1,,,,,,18650 with 2% VEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doughty,2005,,18650,NCA,EC:EMC,100,Thermal-Abuse (ARC),,4.1,,,,,,18650 with 2% VEC and 5% TPP,Emailed for data,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doughty,2005,,18650,NCA,EC:EMC,100,Thermal-Abuse (ARC),,4.1,,,,,,Cell with 6% GDR Anode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doughty,2005,,18650,NCA,EC:PC:EMC,100,Thermal-Abuse (ARC),,4.1,,,,,,Cell with 6% GDR Anode and EC/PC/EMC + 2% VEC electrolyte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abraham,2006,,18650,NCA,EC:EMC,100,Thermal-Abuse (ARC),0.0045,4.1,1,4.1,,,,Vented Cell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abraham,2006,,18650,NCA,,100,Thermal-Abuse (ARC),0.0125,,,,,,,Punctured Cell,Emailed for Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roth,2008,,18650,NCA,EC:EMC,100,Thermal-Abuse (ARC),,,0.88,,,,,200 C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roth,2008,,18650,NCA,EC:EMC,100,Thermal-Abuse (ARC),,,,,,,,300 C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roth,2008,,18650,NCA,EC:EMC,100,Thermal-Abuse (ARC),,,,,,,,400 C,Emailed for Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Golubkov,2015,,18650,NCA,DMC:EMC:EC:PC:MPC,100,Thermal Abuse,,,,,,,,,19.7,48.9,22.6,6.6,2.4,,,,,,,,,,,,,,,,,,,,,,,,
Golubkov,2015,,18650,NCA,DMC:EMC:EC:PC:MPC,100,Thermal Abuse,,,,,,,,,17.5,44,26.1,8.9,2.7,0.9,,,,,,,,,,,,,,,,,,,,,,,
Golubkov,2015,,18650,NCA,DMC:EMC:EC:PC:MPC,100,Thermal Abuse,,,,,,,,,22.7,41.5,28.5,5.9,1.3,0.3,,,,,,,,,,,,,,,,,,,,,,,
Larsson,2017,,18650-32A,NCA,,100,Thermal Abuse,,3.2,,,48.62,,,1st Venting,82.19,0,2.43,0,9.32,6.06,,,,,,,0,,,,,,,,,,,,,,,,
Larsson,2017,,18650-35E,NCA,,100,Thermal Abuse,,3.5,,,47.68,,,1st Venting,100,0,0,0,0,0,,,,,,,0,,,,,,,,,,,,,,,,
Larsson,2017,,18650-MJ1,NCA,,100,Thermal Abuse,,3.5,,,46.35,,,1st Venting,100,0,0,0,0,0,,,,,,,0,,,,,,,,,,,,,,,,
Larsson,2017,,18650-32A,NCA,,100,Thermal Abuse,,3.2,,,48.62,,,Thermal Runaway,95.56,0,3.71,0,0.74,0,,,,,,,0,,,,,,,,,,,,,,,,
Larsson,2017,,18650-35E,NCA,,100,Thermal Abuse,,3.5,,,47.68,,,Thermal Runaway,87.24,0,3.87,0,4.2,4.7,,,,,,,0,,,,,,,,,,,,,,,,
Larsson,2017,,18650-MJ1,NCA,,100,Thermal Abuse,,3.5,,,46.35,,,Thermal Runaway,98.06,0,0.87,0,1.07,0,,,,,,,0,,,,,,,,,,,,,,,,
Larsson,2017,,18650-32A,NCA,,100,Thermal Abuse,,3.2,,,48.62,,,Deflagration,20.4,58.41,15.94,2.5,2.44,0.09,,,,,,,0.22,,,,,,,,,,,,,,,,
Larsson,2017,,18650-35E,NCA,,100,Thermal Abuse,,3.5,,,47.68,,,Deflagration,14.5,44,35.68,3.66,1.95,0.06,,,,,,,0.14,,,,,,,,,,,,,,,,
Larsson,2017,,18650-MJ1,NCA,,100,Thermal Abuse,,3.5,,,46.35,,,Deflagration,9.76,37.22,43.15,6.97,2.69,0.06,,,,,,,0.16,,,,,,,,,,,,,,,,
Golubkov,2015,,18650,NCA,DMC:EMC:EC:PC:MPC,75,Thermal Abuse,,,,,,,,,20.8,43.7,24.2,7.5,3.3,0.5,,,,,,,,,,,,,,,,,,,,,,,
Golubkov,2015,,18650,NCA,DMC:EMC:EC:PC:MPC,50,Thermal Abuse,,,,,,,,,33.8,39.9,17.5,5.2,3.2,0.4,,,,,,,,,,,,,,,,,,,,,,,
Golubkov,2015,,18650,NCA,DMC:EMC:EC:PC:MPC,25,Thermal Abuse,,,,,,,,,62.7,5.5,15.5,8.7,7.5,,,,,,,,,,,,,,,,,,,,,,,,
Golubkov,2015,,18650,NCA,DMC:EMC:EC:PC:MPC,0,Thermal Abuse,,4.2,3.5,14.7,,,,,94.6,1.6,1.7,1.6,0.3,,,,,,,,,,,,,,,,,,,,,,,,
Golubkov,2015,,18650,NCA,DMC:EMC:EC:PC:MPC,0,Thermal Abuse,,,,,,,,,94.7,1.9,1.8,1.2,0.4,,,,,,,,,,,,,,,,,,,,,,,,
Golubkov,2015,,18650,NCA,DMC:EMC:EC:PC:MPC,0,Thermal Abuse,,,,,,,,,96,1.5,1.2,1.1,0.2,,,,,,,,,,,,,,,,,,,,,,,,
Golubkov,2015,,18650,NCA,DMC:EMC:EC:PC:MPC,0,Thermal Abuse,,,,,,,,,96.2,1.1,0.9,1.4,0.3,,,,,,,,,,,,,,,,,,,,,,,,
Golubkov,2015,,18650,NCA,DMC:EMC:EC:PC:MPC,0,Thermal Abuse,,,,,,,,,96.6,1,0.8,1.3,0.3,,,,,,,,,,,,,,,,,,,,,,,,
Larsson,2017,,Pouch,NCA-LATP,,100,Thermal Abuse (Fire Test Chamber),,2.3,30,69,,,,2 batteries per test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun,2016,,18650,NMC,,OCH,Thermal Abuse on Overcharged Cells (Combustion Chamber),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sun,2016,,Pouch,NMC,,OCH,Thermal Abuse on Overcharged Cells (Combustion Chamber),,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Golubkov,2014,,18650,NMC,DMC:EMC:EC,100,Thermal Abuse (Reactor Chamber),,3.8,1.5,5.7,43,,,"* Not sure if charging regimen, leaves them at exactly 100%",41.2,13,30.8,6.8,8.2,,,,,,,,,,,,,,,,,,,,,,,,
Larsson,2014,,"12x Lenovo laptop
battery packs",,,100,Thermal Abuse (Fire Test Chamber),,,33.6,,639,,,Measured HF and POF3 off-gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,